Category,License,Dependency,Notes
"Apache License 2.0","Apache License 2.0","github.com/coreos/etcd",
"Apache License 2.0","Apache License 2.0","github.com/coreos/go-semver/semver",
"Apache License 2.0","Apache License 2.0","github.com/go-ini/ini",
"BSD 3-clause ""New"" or ""Revised"" License (96%)","BSD 3-clause ""New"" or ""Revised"" License (96%)","github.com/gorilla/mux",
"Mozilla Public License 2.0","Mozilla Public License 2.0","github.com/hashicorp/consul/api",
"Mozilla Public License 2.0","Mozilla Public License 2.0","github.com/hashicorp/go-cleanhttp",
"Mozilla Public License 2.0","Mozilla Public License 2.0","github.com/hashicorp/go-rootcerts",
"Mozilla Public License 2.0","Mozilla Public License 2.0","github.com/hashicorp/serf/coordinate",
"Apache License 2.0","Apache License 2.0","github.com/minio/minio-go/pkg",
"MIT License","MIT License","github.com/mitchellh/go-homedir",
"MIT License","MIT License","github.com/mitchellh/mapstructure",
"BSD 3-clause ""New"" or ""Revised"" License (96%)","BSD 3-clause ""New"" or ""Revised"" License (96%)","github.com/ogier/pflag",
"MIT License (98%)","MIT License (98%)","github.com/pierrre/archivefile/zip",
"BSD 3-clause ""New"" or ""Revised"" License","BSD 3-clause ""New"" or ""Revised"" License","github.com/samuel/go-zookeeper/zk",
"MIT License","MIT License","github.com/sirupsen/logrus",
"MIT License","MIT License","github.com/ugorji/go/codec",
"BSD 3-clause ""New"" or ""Revised"" License (96%)","BSD 3-clause ""New"" or ""Revised"" License (96%)","golang.org/x/crypto",
"BSD 3-clause ""New"" or ""Revised"" License (96%)","BSD 3-clause ""New"" or ""Revised"" License (96%)","golang.org/x/net",
"BSD 3-clause ""New"" or ""Revised"" License (96%)","BSD 3-clause ""New"" or ""Revised"" License (96%)","golang.org/x/sys",
"BSD 3-clause ""New"" or ""Revised"" License (96%)","BSD 3-clause ""New"" or ""Revised"" License (96%)","golang.org/x/text",
